id,title,circrna_id,circ_rna_name,circrna_synonyms,disease_details,method,species,expression_pattern,description
1,Expression of linear and novel circular forms of an INK4/ARF-associated non-coding RNA correlates with atherosclerosis risk.,-,hsa_circ_ANRIL,-,atherosclerosis,RNA-seq,human,down-regulated,"ANRIL encodes a heterogeneous species of rare RNA transcripts. Moreover, we identified novel, circular ANRIL isoforms (cANRIL) whose expression correlated with INK4/ARF transcription and ASVD risk."
2,"Correlation of circular RNA abundance with proliferation--exemplified with colorectal and ovarian cancer, idiopathic lung fibrosis, and normal human tissues.",hsa_circ_0024169,hsa_circ_CUL5,circ0817,colorectal cancer,"RT-qPCR, RNA-seq",human,down-regulated,We are the first to report a global reduction of circular RNA abundance in colorectal cancer cell lines and cancer compared to normal tissues and discovered a negative correlation of global circular RNA abundance and proliferation.
3,"Correlation of circular RNA abundance with proliferation--exemplified with colorectal and ovarian cancer, idiopathic lung fibrosis, and normal human tissues.",hsa_circ_0002138,hsa_circ_USP3,circ3204,colorectal cancer,"RT-qPCR, RNA-seq",human,down-regulated,We are the first to report a global reduction of circular RNA abundance in colorectal cancer cell lines and cancer compared to normal tissues and discovered a negative correlation of global circular RNA abundance and proliferation.
4,"Correlation of circular RNA abundance with proliferation--exemplified with colorectal and ovarian cancer, idiopathic lung fibrosis, and normal human tissues.",hsa_circ_0000523,hsa_circ_METTL3,circ6229,colorectal cancer,"RT-qPCR, RNA-seq",human,down-regulated,We are the first to report a global reduction of circular RNA abundance in colorectal cancer cell lines and cancer compared to normal tissues and discovered a negative correlation of global circular RNA abundance and proliferation.
5,"Correlation of circular RNA abundance with proliferation--exemplified with colorectal and ovarian cancer, idiopathic lung fibrosis, and normal human tissues.",-,hsa_circ_TNS4,circ7374,colorectal cancer,"RT-qPCR, RNA-seq",human,up-regulated,We are the first to report a global reduction of circular RNA abundance in colorectal cancer cell lines and cancer compared to normal tissues and discovered a negative correlation of global circular RNA abundance and proliferation.
6,"Correlation of circular RNA abundance with proliferation--exemplified with colorectal and ovarian cancer, idiopathic lung fibrosis, and normal human tissues.",-,-,circ7780,colorectal cancer,"RT-qPCR, RNA-seq",human,down-regulated,We are the first to report a global reduction of circular RNA abundance in colorectal cancer cell lines and cancer compared to normal tissues and discovered a negative correlation of global circular RNA abundance and proliferation.
7,Using circular RNA as a novel type of biomarker in the screening of gastric cancer.,hsa_circ_0000140,hsa_circ_KIAA0907,hsa_circ_002059,gastric cancer,RT-qPCR,human,down-regulated,"Hsa_circ_0000140 lower expression levels were significantly correlated with distal metastasis, TNM stage, gender and age."
8,Circular RNA ITCH has inhibitory effect on ESCC by suppressing the Wnt/beta-catenin pathway.,-,hsa_circ_ITCH,"cir-ITCH, circ-ITCH",esophageal squamous cell carcinoma,RT-qPCR,human,down-regulated,"ITCH hyper expression promotes ubiquitination and degradation of phosphorylated Dvl2, thereby inhibiting the Wnt/beta-catenin pathway. These results indicate that cir-ITCH may have an inhibitory effect on ESCC by regulating the Wnt pathway."
9,cir-ITCH plays an inhibitory role in colorectal cancer by regulating the Wnt/beta-catenin pathway.,-,hsa_circ_ITCH,"cir-ITCH, circ-ITCH",colorectal cancer,RT-qPCR,human,down-regulated,"Cir-ITCH expression was typically down-regulated in CRC compared to the peritumoral tissue. This result, as well as several follow-up experi- ments, showed that cir-ITCH could increase the level of ITCH, which is involved in the inhibi- tion of the Wnt/beta-catenin pathway."
10,Circular RNA is enriched and stable in exosomes: a promising biomarker for cancer diagnosis.,-,hsa_circ_KLDHC10,-,colorectal cancer,"RT-qPCR, RNA-seq",human,up-regulated,expression levels of circ-KLDHC10 were significantly increased in cancer serum than those in NS.
11,"The circular RNA Cdr1as, via miR-7 and its targets, regulates insulin transcription and secretion in islet cells.",-,-,mmu_circ_0001878,diabetes,RT-qPCR,mouse,up-regulated,"We further identified a new target Myrip in the Cdr1as/miR-7 pathway that regulates insulin granule secretion, and also another target Pax6 that enhances insulin transcription."
12,Hsa_circ_0001649: A circular RNA and potential novel biomarker for hepatocellular carcinoma.,hsa_circ_0001649,hsa_circ_SHPRH,-,hepatocellular carcinoma,RT-qPCR,human,down-regulated,Hsa_circ_0001649 was significantly downregulated in hepatocellular carcinoma (HCC). Our findings indicate hsa_circ_0001649 might serve as a novel potential biomarker for HCC and may function in tumorigenesis and metastasis of HCC.
13,Foxo3 activity promoted by non-coding effects of circular RNA and Foxo3 pseudogene in the inhibition of tumor growth and angiogenesis.,-,hsa_circ_FOXO3,-,breast cancer,RT-qPCR,human,down-regulated,"The breast tumor tissues expressed low levels of circ-Foxo3, Foxo3P and Foxo3 compared with normal tissues. We found that the ectopic expression of the Foxo3P, Foxo3 circular RNA and Foxo3 mRNA could all suppress tumor growth and cancer cell proliferation and survival."
